Date,TargetPeriod,Value,,
12/4/2015,2016Q1,1.16,,
12/11/2015,2016Q1,1.08,,
12/18/2015,2016Q1,1.09,,
12/25/2015,2016Q1,0.99,,
1/1/2016,2016Q1,-,,
1/8/2016,2016Q1,0.95,,
1/15/2016,2016Q1,1.1,,
1/22/2015,2016Q1,0.34,,
1/29/2015,2016Q1,0.6,,
2/5/2015,2016Q1,-0.09,,
2/12/2015,2016Q1,0.18,,
2/19/2015,2016Q1,0.99,,
2/26/2015,2016Q1,0.94,,
3/4/2015,2016Q1,1.54,,
3/11/2015,2016Q1,1.26,,
3/18/2015,2016Q1,0.99,,
3/25/2016,2016Q1,1.05,,
4/1/2016,2016Q1,1,,
4/8/2016,2016Q1,1.02,,
4/15/2016,2016Q1,1.05,,
4/22/2016,2016Q1,0.7,,
4/29/2016,2016Q1,0.72,,
2/26/2015,2016Q2,1.27,,
3/4/2015,2016Q2,1.54,,
3/11/2015,2016Q2,1.52,,
3/18/2015,2016Q2,1.51,,
3/25/2016,2016Q2,1.71,,
4/1/2016,2016Q2,1.74,,
4/8/2016,2016Q2,1.91,,
4/15/2016,2016Q2,1.21,,
4/22/2016,2016Q2,0.74,,
4/29/2016,2016Q2,0.81,,
5/6/2016,2016Q2,0.81,,
5/13/2016,2016Q2,1.25,,
5/20/2016,2016Q2,1.71,,
5/27/2016,2016Q2,2.15,,
6/3/2016,2016Q2,2.37,,
6/10/2016,2016Q2,2.3,,
6/17/2016,2016Q2,2.12,,
6/24/2016,2016Q2,2.11,,
7/1/2016,2016Q2,2.08,,
7/8/2016,2016Q2,2.09,,
7/15/2016,2016Q2,2.18,,
7/22/2016,2016Q2,2.17,,
7/29/2016,2016Q2,2.11,,
6/3/2016,2016Q3,2.17,,
6/10/2016,2016Q3,2.15,,
6/17/2016,2016Q3,2.13,,
6/24/2016,2016Q3,2.14,,
7/1/2016,2016Q3,2.21,,
7/8/2016,2016Q3,2.31,,
7/15/2016,2016Q3,2.61,,
7/22/2016,2016Q3,2.56,,
7/29/2016,2016Q3,2.52,,
8/5/2016,2016Q3,2.63,,
8/12/2016,2016Q3,2.43,,
8/19/2016,2016Q3,2.96,,
8/26/2016,2016Q3,2.83,,
9/2/2016,2016Q3,2.8,,
9/9/2016,2016Q3,2.8,,
9/16/2016,2016Q3,2.38,,
9/23/2016,2016Q3,2.26,,
9/30/2016,2016Q3,2.23,,
10/7/2016,2016Q3,2.2,,
10/14/2016,2016Q3,2.3,,
10/21/2016,2016Q3,2.22,,
10/28/2016,2016Q3,2.24,,
9/2/2016,2016Q4,1.71,,
9/9/2016,2016Q4,1.69,,
9/16/2016,2016Q4,1.37,,
9/23/2016,2016Q4,1.22,,
9/30/2016,2016Q4,1.25,,
10/7/2016,2016Q4,1.32,,
10/14/2016,2016Q4,1.56,,
10/21/2016,2016Q4,1.4,,
10/28/2016,2016Q4,1.55,,
11/4/2016,2016Q4,1.6,,
11/11/2016,2016Q4,1.63,,
11/18/2016,2016Q4,2.36,,
11/25/2016,2016Q4,2.5,,
12/2/2016,2016Q4,2.67,,
12/9/2016,2016Q4,2.48,,
12/16/2016,2016Q4,1.83,,
12/23/2016,2016Q4,1.85,,
12/30/2016,2016Q4,1.77,,
1/6/2017,2016Q4,1.93,,
1/13/2017,2016Q4,1.94,,
1/20/2017,2016Q4,2.08,,
1/27/2017,2016Q4,2.02,,
12/2/2016,2017Q1,2.54,,
12/9/2016,2017Q1,2.4,,
12/16/2016,2017Q1,1.72,,
12/23/2016,2017Q1,1.76,,
12/30/2016,2017Q1,1.7,,
1/6/2017,2017Q1,1.99,,
1/13/2017,2017Q1,2.07,,
1/20/2017,2017Q1,2.66,,
1/27/2017,2017Q1,2.66,,
2/3/2017,2017Q1,2.92,,
2/10/2017,2017Q1,3.07,,
2/17/2017,2017Q1,3.09,,
2/24/2017,2017Q1,3.12,,
3/3/2017,2017Q1,3.09,,
3/10/2017,2017Q1,3.19,,
3/17/2017,2017Q1,2.83,,
3/24/2017,2017Q1,2.96,,
3/31/2017,2017Q1,2.87,,
4/7/2017,2017Q1,2.82,,
4/14/2017,2017Q1,2.64,,
4/21/2017,2017Q1,2.65,,
4/28/2017,2017Q1,2.7,,
3/3/2017,2017Q2,2.91,,
3/10/2017,2017Q2,3,,
3/17/2017,2017Q2,2.53,,
3/24/2017,2017Q2,2.66,,
3/31/2017,2017Q2,2.58,,
4/7/2017,2017Q2,2.56,,
4/14/2017,2017Q2,2.09,,
4/21/2017,2017Q2,2.06,,
4/28/2017,2017Q2,2.33,,
5/5/2017,2017Q2,1.8,,
5/12/2017,2017Q2,1.88,,
5/19/2017,2017Q2,2.32,,
5/26/2017,2017Q2,2.17,,
6/2/2017,2017Q2,2.17,,
6/9/2017,2017Q2,2.25,,
6/16/2017,2017Q2,1.86,,
6/23/2017,2017Q2,1.88,,
6/30/2017,2017Q2,1.91,,
7/7/2017,2017Q2,1.96,,
7/14/2017,2017Q2,1.9,,
7/21/2017,2017Q2,2.04,,
7/28/2017,2017Q2,2.09,,
6/2/2017,2017Q3,1.82,,
6/9/2017,2017Q3,1.8,,
6/16/2017,2017Q3,1.54,,
6/23/2017,2017Q3,1.55,,
6/30/2017,2017Q3,1.61,,
7/7/2017,2017Q3,1.78,,
7/14/2017,2017Q3,1.84,,
7/21/2017,2017Q3,1.95,,
7/28/2017,2017Q3,1.92,,
8/4/2017,2017Q3,1.98,,
8/11/2017,2017Q3,1.96,,
8/18/2017,2017Q3,2.09,,
8/25/2017,2017Q3,1.93,,
9/1/2017,2017Q3,2.17,,
9/8/2017,2017Q3,2.06,,
9/15/2017,2017Q3,1.34,,
9/22/2017,2017Q3,1.56,,
9/29/2017,2017Q3,1.46,,
10/6/2017,2017Q3,1.53,,
10/13/2017,2017Q3,1.7,,
10/20/2017,2017Q3,-,,
10/27/2017,2017Q3,-,,
9/1/2017,2017Q4,2.72,,
9/8/2017,2017Q4,2.62,,
9/15/2017,2017Q4,1.82,,
9/22/2017,2017Q4,2.01,,
9/29/2017,2017Q4,1.95,,
10/6/2017,2017Q4,2.45,,
10/13/2017,2017Q4,2.91,,
10/20/2017,2017Q4,-,,
10/27/2017,2017Q4,-,,
11/3/2017,2017Q4,-,,
11/10/2017,2017Q4,-,,
11/17/2017,2017Q4,-,,
11/24/2017,2017Q4,-,,
12/1/2017,2017Q4,-,,
12/8/2017,2017Q4,-,,
12/15/2017,2017Q4,-,,
12/22/2017,2017Q4,-,,
12/29/2017,2017Q4,-,,
1/5/2018,2017Q4,-,,
1/12/2018,2017Q4,-,,
1/19/2018,2017Q4,-,,
1/26/2018,2017Q4,-,,
